Tag	ClassType	DataType	Property	Value
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Double	Max	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Boolean	SaveRequired	False
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	Channel	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	OutputPolarity	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	CalType	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	Direction	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Description	BLK(B-83) IO(700)
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Mapping	
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	ClassType	IO_NIDAQFreqOutput
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Tag	SPEED SENSOR LEFT_1
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Help	5
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	EdgeMode	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	RawValue	
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	GateMode	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Device	2
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	ProgID	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Type	
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Double	Value	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Boolean	RaisesEvent	False
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	DeviceNmb	2
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Enabled	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Double	DutyCycle	0.5
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Double	Min	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Format	0.00
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	Int32	OutputType	0
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Group	Frequency Outputs
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Detail	CAB(C5-C)  WIRE(244)
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Units	
DISPLAYFrequency Outputs	IOdisplay	String	Group	IOdisplay
DISPLAYFrequency Outputs	IOdisplay	Boolean	Minimized	False
DISPLAYFrequency Outputs	IOdisplay	Int32	Top	267
DISPLAYFrequency Outputs	IOdisplay	Boolean	SaveRequired	False
DISPLAYFrequency Outputs	IOdisplay	Int32	Invert	0
DISPLAYFrequency Outputs	IOdisplay	String	ClassType	IOdisplay
DISPLAYFrequency Outputs	IOdisplay	String	Tag	DISPLAYFrequency Outputs
DISPLAYFrequency Outputs	IOdisplay	Int32	Width	175
DISPLAYFrequency Outputs	IOdisplay	Int32	ProgID	0
DISPLAYFrequency Outputs	IOdisplay	Boolean	RaisesEvent	False
DISPLAYFrequency Outputs	IOdisplay	String	Enabled	
DISPLAYFrequency Outputs	IOdisplay	String	Format	
DISPLAYFrequency Outputs	IOdisplay	String	Group	IOdisplay
DISPLAYFrequency Outputs	IOdisplay	Int32	Height	89
DISPLAYFrequency Outputs	IOdisplay	Int32	Left	559
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	Channel	24
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-25) IO(124)
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Tag	RADIO POWER SWITCHED
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Help	13
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	RawValue	
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Device	1
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	Port	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Type	
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Mapping	
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Int32	Value	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Enabled	0
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Format	
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(C5-D)  WIRE(505)
RADIO POWER SWITCHED	IO_NIDAQSCXIDigitalInput	String	Units	
DISPLAYDigital Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYDigital Inputs	IOdisplay	Boolean	Minimized	False
DISPLAYDigital Inputs	IOdisplay	Int32	Top	6
DISPLAYDigital Inputs	IOdisplay	Boolean	SaveRequired	False
DISPLAYDigital Inputs	IOdisplay	Int32	Invert	0
DISPLAYDigital Inputs	IOdisplay	String	ClassType	IOdisplay
DISPLAYDigital Inputs	IOdisplay	String	Tag	DISPLAYDigital Inputs
DISPLAYDigital Inputs	IOdisplay	Int32	Width	700
DISPLAYDigital Inputs	IOdisplay	Int32	ProgID	0
DISPLAYDigital Inputs	IOdisplay	Boolean	RaisesEvent	False
DISPLAYDigital Inputs	IOdisplay	String	Enabled	
DISPLAYDigital Inputs	IOdisplay	String	Format	
DISPLAYDigital Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYDigital Inputs	IOdisplay	Int32	Height	260
DISPLAYDigital Inputs	IOdisplay	Int32	Left	2
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	22
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-98) IO(622)
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	ClassType	IO_NIDAQSCXIAnalogInput
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Tag	PUMP RIGHT REVERSE SOLENOID
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Help	5
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	CalDate	
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV1	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RawValue	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Device	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP1	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP2	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ProgID	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Type	
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Mapping	
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Value	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	RaisesEvent	False
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	DeviceNmb	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputRange	10
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Enabled	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Min	0
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Format	0.00
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Gain	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Scaling	0.1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Detail	CAB(C5-F)  WIRE(216)
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV2	1
PUMP RIGHT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Units	
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	23
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-99) IO(623)
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	ClassType	IO_NIDAQSCXIAnalogInput
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Tag	PUMP RIGHT FORWARD SOLENOID
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Help	5
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	CalDate	
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV1	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RawValue	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Device	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP1	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP2	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ProgID	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Type	
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Mapping	
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Value	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	RaisesEvent	False
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	DeviceNmb	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputRange	10
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Enabled	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Min	0
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Format	0.00
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Gain	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Scaling	0.1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Detail	CAB(C5-G)  WIRE(204)
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV2	1
PUMP RIGHT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Units	
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	24
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-100) IO(624)
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	ClassType	IO_NIDAQSCXIAnalogInput
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Tag	PUMP LEFT REVERSE SOLENOID
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Help	5
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	CalDate	
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV1	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RawValue	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Device	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP1	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP2	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ProgID	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Type	
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Mapping	
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Value	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	RaisesEvent	False
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	DeviceNmb	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputRange	10
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Enabled	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Min	0
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Format	0.00
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Gain	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Scaling	0.1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Detail	CAB(C5-H)  WIRE(230)
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV2	1
PUMP LEFT REVERSE SOLENOID	IO_NIDAQSCXIAnalogInput	String	Units	
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	25
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-101) IO(625)
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
PUMP LEFT FORWARD SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
